customer_id,segment,industry,city,employee_count_band,signup_date,churn_date,contract_type,acquisition_channel
54,SMB,Медицина,Москва,50-200,2022-05-18,,annual,paid
55,SMB,Розница,Санкт-Петербург,<50,2020-11-21,2023-01-12,monthly,direct
56,SMB,Медиа,Воронеж,<50,2022-01-09,,annual,organic
57,SMB,HoReCa,Новосибирск,<50,2022-09-17,2024-05-04,monthly,referral
58,SMB,HoReCa,Москва,200-500,2023-06-29,,annual,referral
59,SMB,Производство,Нижний Новгород,50-200,2021-01-11,,annual,organic
60,SMB,Строительство,Краснодар,<50,2022-03-07,2024-09-18,monthly,direct
61,SMB,Строительство,Новосибирск,200-500,2023-04-30,2023-11-24,monthly,organic
62,SMB,Производство,Новосибирск,<50,2023-12-16,,monthly,referral
63,SMB,HoReCa,Краснодар,<50,2023-02-13,,annual,referral
64,SMB,Строительство,Москва,50-200,2021-09-03,,annual,direct
65,Mid,Профуслуги,Краснодар,200-500,2019-04-07,,annual,referral
66,Mid,ИТ и софт,Санкт-Петербург,50-200,2021-08-25,,monthly,organic
67,SMB,Производство,Москва,<50,2022-04-12,2025-05-03,annual,direct
68,Large,Образование,Санкт-Петербург,200-500,2021-10-06,,pay_as_you_go,referral
69,Mid,Финуслуги,Москва,<50,2022-05-24,,monthly,paid
70,SMB,Финуслуги,Новосибирск,<50,2020-06-20,2023-04-01,monthly,organic
71,Mid,HoReCa,Екатеринбург,200-500,2021-06-22,,monthly,paid
72,Mid,Образование,Москва,50-200,2019-12-12,2023-02-01,pay_as_you_go,direct
73,SMB,Логистика,Санкт-Петербург,50-200,2024-09-21,,annual,direct
74,SMB,HoReCa,Санкт-Петербург,<50,2023-06-21,,pay_as_you_go,paid
75,SMB,Логистика,Екатеринбург,50-200,2021-09-23,2025-07-11,monthly,direct
76,Large,Медиа,Казань,200-500,2024-07-05,,annual,referral
77,SMB,Недвижимость,Москва,<50,2023-02-24,,monthly,direct
78,SMB,HoReCa,Москва,500+,2021-05-25,,pay_as_you_go,organic
79,SMB,Медицина,Нижний Новгород,<50,2024-02-18,,annual,paid
80,SMB,Медицина,Краснодар,<50,2022-12-18,2023-09-28,pay_as_you_go,paid
81,SMB,Недвижимость,Москва,50-200,2024-02-09,,monthly,organic
82,SMB,Медиа,Москва,<50,2022-07-23,2024-01-17,monthly,direct
83,Mid,Финуслуги,Москва,50-200,2024-05-07,,monthly,direct
84,Mid,ИТ и софт,Нижний Новгород,50-200,2020-03-08,,annual,referral
85,Mid,Строительство,Новосибирск,200-500,2021-12-18,2023-05-09,pay_as_you_go,referral
86,Mid,Производство,Казань,50-200,2022-12-03,2023-10-16,pay_as_you_go,organic
87,SMB,Производство,Санкт-Петербург,<50,2021-07-03,2023-10-21,pay_as_you_go,paid
88,SMB,HoReCa,Москва,50-200,2021-01-02,2023-03-04,monthly,organic
89,SMB,Профуслуги,Москва,50-200,2024-05-11,,annual,paid
90,SMB,Финуслуги,Санкт-Петербург,<50,2023-02-09,2024-01-30,annual,referral
91,Mid,Финуслуги,Москва,500+,2019-05-22,,annual,organic
92,SMB,Образование,Санкт-Петербург,50-200,2020-11-01,,monthly,organic
93,Mid,Образование,Санкт-Петербург,50-200,2021-06-02,2024-08-06,monthly,paid
94,SMB,HoReCa,Самара,<50,2022-12-11,,monthly,referral
95,Mid,HoReCa,Краснодар,200-500,2020-06-08,2024-04-07,monthly,direct
96,Mid,HoReCa,Санкт-Петербург,200-500,2023-09-08,2024-10-16,monthly,paid
97,Mid,Логистика,Казань,50-200,2021-05-17,2023-02-04,monthly,organic
98,Mid,Логистика,Москва,200-500,2021-09-27,,monthly,paid
99,SMB,Строительство,Москва,<50,2019-11-28,2023-06-26,pay_as_you_go,direct
100,Mid,HoReCa,Москва,50-200,2023-03-02,,pay_as_you_go,direct
101,SMB,Медицина,Казань,<50,2023-07-17,,annual,direct
102,SMB,HoReCa,Краснодар,<50,2019-03-03,2023-05-08,monthly,paid
103,SMB,ИТ и софт,Самара,<50,2021-04-25,,monthly,paid
104,Mid,Строительство,Москва,<50,2019-11-09,,annual,organic
105,SMB,Производство,Воронеж,<50,2023-03-17,,annual,organic
106,SMB,Медиа,Краснодар,<50,2019-06-04,2023-08-10,pay_as_you_go,referral
107,Mid,Медиа,Москва,<50,2020-08-26,,monthly,organic
108,SMB,Финуслуги,Санкт-Петербург,<50,2020-08-30,,monthly,paid
109,SMB,Образование,Екатеринбург,<50,2022-09-24,,annual,referral
110,Mid,Розница,Москва,<50,2020-12-07,,pay_as_you_go,organic
111,Mid,Финуслуги,Москва,200-500,2019-07-14,,annual,referral
112,Mid,Профуслуги,Казань,50-200,2024-06-22,,monthly,referral
113,SMB,Медицина,Новосибирск,<50,2023-03-30,2024-01-06,monthly,paid
114,Mid,HoReCa,Новосибирск,50-200,2021-02-04,2024-06-04,monthly,referral
115,Mid,Образование,Нижний Новгород,50-200,2020-12-20,2025-09-06,monthly,organic
116,SMB,Строительство,Новосибирск,<50,2023-02-17,,annual,organic
117,SMB,Логистика,Казань,50-200,2023-02-02,,annual,paid
118,Mid,Профуслуги,Москва,50-200,2021-04-17,2023-10-16,pay_as_you_go,direct
119,SMB,Образование,Санкт-Петербург,<50,2020-11-21,,monthly,paid
120,SMB,Медицина,Москва,50-200,2023-12-14,,pay_as_you_go,direct
121,SMB,HoReCa,Самара,50-200,2023-10-05,,monthly,organic
122,Mid,Образование,Санкт-Петербург,50-200,2021-04-02,2025-02-19,monthly,referral
123,SMB,HoReCa,Москва,<50,2022-05-03,,annual,paid
124,Mid,HoReCa,Москва,<50,2021-03-30,,annual,direct
125,Mid,Профуслуги,Самара,50-200,2023-06-03,,annual,organic
126,SMB,ИТ и софт,Самара,<50,2021-06-28,,pay_as_you_go,paid
127,Large,Медиа,Санкт-Петербург,200-500,2022-12-31,2024-01-23,pay_as_you_go,paid
128,Mid,Логистика,Москва,50-200,2019-03-29,,annual,direct
129,SMB,Медиа,Екатеринбург,<50,2023-08-07,,annual,organic
130,Mid,Финуслуги,Екатеринбург,200-500,2022-08-07,2024-08-18,annual,paid
131,SMB,HoReCa,Казань,<50,2023-10-20,,monthly,paid
132,SMB,Образование,Москва,50-200,2020-08-11,2024-05-01,pay_as_you_go,organic
133,SMB,Производство,Нижний Новгород,50-200,2020-02-18,,monthly,organic
134,SMB,ИТ и софт,Краснодар,<50,2019-12-17,2024-05-24,monthly,direct
135,SMB,Строительство,Краснодар,<50,2022-05-18,2025-01-19,monthly,direct
136,Large,Логистика,Новосибирск,500+,2024-02-16,,annual,organic
137,Large,Логистика,Санкт-Петербург,200-500,2019-04-25,2023-08-15,annual,referral
138,SMB,Производство,Самара,<50,2019-05-23,,annual,direct
139,SMB,Медиа,Санкт-Петербург,<50,2021-08-24,,annual,direct
140,SMB,Логистика,Москва,<50,2024-05-03,,annual,paid
141,SMB,HoReCa,Новосибирск,50-200,2023-08-12,,pay_as_you_go,organic
142,SMB,Недвижимость,Екатеринбург,<50,2020-11-28,,annual,paid
143,SMB,HoReCa,Воронеж,<50,2020-10-19,,monthly,organic
144,SMB,Образование,Самара,<50,2022-09-08,2023-02-09,monthly,organic
145,SMB,Медицина,Казань,<50,2020-07-24,2023-11-17,annual,paid
146,SMB,Образование,Москва,50-200,2022-08-04,,annual,organic
147,SMB,Розница,Санкт-Петербург,<50,2023-05-02,,monthly,paid
148,SMB,Образование,Самара,50-200,2024-01-22,,monthly,referral
149,SMB,Логистика,Москва,<50,2022-10-18,,annual,direct
150,SMB,Медиа,Екатеринбург,<50,2022-08-11,,pay_as_you_go,paid
151,SMB,Медиа,Нижний Новгород,<50,2023-02-19,,annual,direct
152,SMB,Образование,Новосибирск,50-200,2022-03-25,2023-06-01,annual,direct
153,Mid,Недвижимость,Екатеринбург,50-200,2021-03-05,2023-11-23,monthly,referral
154,SMB,Розница,Москва,<50,2019-02-21,,annual,paid
155,SMB,Образование,Казань,50-200,2023-12-18,2025-03-20,monthly,organic
156,Large,Логистика,Ростов-на-Дону,500+,2023-10-28,,annual,organic
157,SMB,Финуслуги,Москва,<50,2021-06-11,2024-02-26,monthly,referral
158,SMB,Медицина,Ростов-на-Дону,50-200,2024-07-14,,annual,referral
159,Mid,Производство,Самара,50-200,2024-12-05,,annual,paid
160,Mid,Медиа,Санкт-Петербург,50-200,2022-03-14,2024-07-04,monthly,direct
161,SMB,Медицина,Краснодар,<50,2021-08-27,2023-02-04,annual,organic
162,Large,Производство,Москва,200-500,2022-01-14,2023-02-24,monthly,paid
163,SMB,HoReCa,Воронеж,<50,2024-09-23,,annual,organic
164,Mid,Профуслуги,Воронеж,<50,2022-05-14,2025-11-26,monthly,paid
165,SMB,Медиа,Воронеж,<50,2022-09-19,,annual,paid
166,SMB,Финуслуги,Москва,50-200,2021-05-01,2023-05-19,pay_as_you_go,organic
167,SMB,Образование,Краснодар,<50,2025-03-21,,annual,direct
168,Mid,Производство,Москва,<50,2024-01-20,2025-05-07,annual,paid
169,SMB,Профуслуги,Нижний Новгород,50-200,2021-11-07,2023-02-20,pay_as_you_go,referral
170,Mid,Логистика,Москва,200-500,2020-12-19,2024-08-11,monthly,paid
171,SMB,Профуслуги,Нижний Новгород,50-200,2020-12-05,2023-08-02,pay_as_you_go,organic
172,SMB,Медицина,Самара,50-200,2025-04-10,,annual,paid
173,Mid,ИТ и софт,Москва,<50,2023-09-09,,monthly,direct
174,SMB,Розница,Санкт-Петербург,<50,2022-04-04,,monthly,direct
175,SMB,ИТ и софт,Казань,<50,2020-04-23,,monthly,direct
176,Mid,Недвижимость,Воронеж,200-500,2021-08-14,,annual,direct
177,SMB,Недвижимость,Москва,<50,2021-08-08,,annual,paid
178,SMB,Образование,Самара,<50,2021-11-12,,annual,organic
179,Mid,Медицина,Москва,200-500,2021-06-04,,monthly,organic
180,SMB,Логистика,Санкт-Петербург,<50,2023-08-01,,annual,organic
181,Mid,Медиа,Санкт-Петербург,50-200,2024-04-12,,annual,paid
182,Mid,HoReCa,Ростов-на-Дону,50-200,2025-04-18,,monthly,direct
183,Mid,Медицина,Новосибирск,50-200,2022-09-28,2025-04-28,monthly,referral
184,SMB,Розница,Нижний Новгород,50-200,2022-11-24,,annual,direct
185,Mid,Розница,Санкт-Петербург,50-200,2020-02-22,,monthly,referral
186,SMB,Образование,Санкт-Петербург,<50,2021-10-06,2023-12-17,monthly,referral
187,Mid,Производство,Москва,200-500,2019-11-29,2023-03-04,pay_as_you_go,referral
188,Mid,Розница,Самара,200-500,2021-03-12,2023-06-05,monthly,paid
189,Mid,Образование,Москва,200-500,2024-04-03,,monthly,organic
190,Mid,Финуслуги,Самара,50-200,2022-05-14,,annual,referral
191,Mid,Финуслуги,Москва,50-200,2022-04-14,,annual,paid
192,SMB,Медиа,Екатеринбург,<50,2023-09-20,,annual,paid
193,SMB,Медицина,Казань,50-200,2023-03-21,2024-11-02,annual,organic
194,SMB,Розница,Москва,<50,2021-09-03,,monthly,organic
195,SMB,ИТ и софт,Ростов-на-Дону,50-200,2023-03-07,2023-08-08,pay_as_you_go,referral
196,SMB,Образование,Нижний Новгород,<50,2025-01-18,,annual,paid
197,SMB,Финуслуги,Екатеринбург,<50,2024-05-07,2024-12-02,annual,organic
198,SMB,Финуслуги,Екатеринбург,<50,2024-02-03,,annual,referral
199,SMB,Розница,Самара,50-200,2024-11-29,,pay_as_you_go,direct
200,SMB,Медицина,Екатеринбург,50-200,2021-06-29,2023-08-23,annual,organic
201,SMB,Производство,Москва,<50,2020-05-24,2023-11-07,monthly,paid
202,SMB,Недвижимость,Москва,<50,2022-11-25,2023-07-07,monthly,organic
203,SMB,Розница,Самара,<50,2023-07-24,2025-12-18,monthly,paid
204,SMB,Недвижимость,Краснодар,50-200,2024-06-26,,annual,organic
205,Mid,Розница,Санкт-Петербург,200-500,2021-04-29,,annual,paid
206,SMB,ИТ и софт,Москва,50-200,2021-05-08,,annual,direct
207,SMB,Финуслуги,Новосибирск,<50,2022-11-12,2023-11-13,monthly,paid
208,Mid,Производство,Санкт-Петербург,200-500,2025-04-22,,monthly,direct
209,Large,Логистика,Москва,500+,2019-05-09,,annual,organic
210,SMB,Логистика,Самара,<50,2020-01-13,,annual,referral
211,SMB,Медиа,Санкт-Петербург,50-200,2021-03-22,2024-02-18,monthly,referral
212,Mid,Розница,Москва,200-500,2020-12-25,,monthly,organic
213,SMB,Профуслуги,Екатеринбург,50-200,2022-12-09,,annual,paid
214,SMB,Медиа,Самара,<50,2024-07-31,,monthly,paid
215,SMB,Производство,Москва,50-200,2019-04-07,2023-06-19,monthly,organic
216,SMB,HoReCa,Казань,<50,2023-02-13,,monthly,paid
217,Mid,Образование,Санкт-Петербург,200-500,2021-03-21,,monthly,paid
218,SMB,Профуслуги,Москва,50-200,2022-04-27,2023-03-26,monthly,referral
219,SMB,Розница,Санкт-Петербург,50-200,2023-05-21,2023-06-28,annual,organic
220,Large,Медиа,Санкт-Петербург,500+,2024-05-27,,pay_as_you_go,organic
221,SMB,ИТ и софт,Москва,<50,2025-02-17,,annual,organic
222,Large,Строительство,Москва,200-500,2021-03-27,2023-04-16,pay_as_you_go,organic
223,SMB,ИТ и софт,Санкт-Петербург,50-200,2022-10-04,2023-08-07,monthly,paid
224,SMB,Профуслуги,Казань,50-200,2022-12-17,2024-01-24,monthly,paid
225,Mid,Образование,Москва,200-500,2021-09-01,,pay_as_you_go,organic
226,SMB,Образование,Москва,<50,2022-12-27,,monthly,organic
227,SMB,Финуслуги,Москва,<50,2023-06-12,,annual,paid
228,Mid,Профуслуги,Самара,50-200,2021-07-16,,annual,paid
229,SMB,Финуслуги,Самара,50-200,2020-03-30,,pay_as_you_go,referral
230,SMB,Недвижимость,Самара,50-200,2020-12-24,,annual,referral
231,SMB,Строительство,Воронеж,<50,2019-10-09,2023-08-21,pay_as_you_go,organic
232,SMB,Строительство,Казань,<50,2021-11-03,,monthly,direct
233,SMB,Недвижимость,Краснодар,<50,2022-11-04,2024-01-20,monthly,referral
234,Mid,Медицина,Екатеринбург,50-200,2023-01-11,2024-08-01,monthly,paid
235,Mid,Медицина,Санкт-Петербург,200-500,2019-09-26,2024-08-26,pay_as_you_go,direct
236,SMB,Медиа,Самара,<50,2023-11-11,,monthly,paid
237,Mid,Образование,Москва,50-200,2019-12-19,,monthly,organic
238,Large,Розница,Казань,50-200,2020-07-03,,pay_as_you_go,referral
239,Mid,Финуслуги,Москва,200-500,2020-10-19,,monthly,paid
240,SMB,Розница,Краснодар,<50,2021-01-13,2024-04-11,monthly,paid
241,SMB,Розница,Самара,<50,2024-08-20,,pay_as_you_go,organic
242,Large,Образование,Санкт-Петербург,500+,2021-04-09,,annual,paid
243,SMB,Строительство,Санкт-Петербург,50-200,2020-02-18,,annual,organic
244,Mid,Профуслуги,Новосибирск,<50,2023-11-16,,monthly,organic
245,SMB,Финуслуги,Москва,<50,2021-10-13,2023-02-13,pay_as_you_go,referral
246,SMB,Логистика,Новосибирск,50-200,2022-12-04,,monthly,organic
247,Mid,Розница,Казань,50-200,2024-09-18,,pay_as_you_go,paid
248,Mid,Финуслуги,Москва,200-500,2022-06-21,,monthly,organic
249,SMB,HoReCa,Санкт-Петербург,50-200,2020-04-30,2024-03-17,pay_as_you_go,referral
250,SMB,Розница,Санкт-Петербург,<50,2021-11-24,2025-02-05,pay_as_you_go,referral
251,SMB,HoReCa,Москва,<50,2021-03-05,,annual,organic
252,Mid,Профуслуги,Санкт-Петербург,50-200,2021-01-05,2024-06-06,monthly,direct
253,SMB,Производство,Санкт-Петербург,<50,2019-10-03,,pay_as_you_go,paid
254,Mid,Недвижимость,Ростов-на-Дону,<50,2022-11-29,,annual,organic
255,Mid,Образование,Самара,50-200,2020-07-04,,pay_as_you_go,organic
256,SMB,ИТ и софт,Санкт-Петербург,<50,2024-02-10,,annual,paid
257,SMB,Финуслуги,Москва,50-200,2020-03-28,2023-02-02,annual,organic
258,Large,Профуслуги,Новосибирск,50-200,2021-07-16,,annual,paid
259,SMB,Розница,Санкт-Петербург,<50,2020-02-10,2023-01-28,pay_as_you_go,direct
260,Mid,ИТ и софт,Краснодар,200-500,2021-04-11,2024-12-02,monthly,direct
261,SMB,Логистика,Воронеж,<50,2020-03-14,,monthly,paid
262,SMB,Образование,Москва,<50,2022-09-30,,annual,paid
263,Large,Розница,Екатеринбург,200-500,2022-08-10,2023-05-03,annual,paid
264,Large,Финуслуги,Москва,500+,2019-11-30,2024-02-09,annual,direct
265,SMB,Образование,Екатеринбург,<50,2025-05-19,,annual,referral
266,SMB,Производство,Москва,<50,2020-09-10,,monthly,paid
267,SMB,Строительство,Москва,50-200,2022-03-15,2024-12-15,annual,organic
268,Mid,Профуслуги,Санкт-Петербург,50-200,2021-09-30,2024-01-26,pay_as_you_go,organic
269,Mid,ИТ и софт,Санкт-Петербург,200-500,2022-12-11,2023-09-20,monthly,paid
270,Mid,Производство,Москва,50-200,2022-11-12,,annual,referral
271,Mid,Профуслуги,Казань,200-500,2023-06-01,2023-06-20,monthly,paid
272,Mid,Недвижимость,Самара,50-200,2020-01-07,,annual,direct
273,SMB,Производство,Краснодар,50-200,2022-08-16,,annual,referral
274,Mid,Медицина,Москва,50-200,2024-06-11,,annual,organic
275,SMB,Профуслуги,Санкт-Петербург,<50,2022-06-14,2024-07-08,monthly,organic
276,Mid,Образование,Санкт-Петербург,50-200,2023-12-26,,pay_as_you_go,paid
277,SMB,Недвижимость,Москва,<50,2023-06-20,,annual,direct
278,Mid,Логистика,Новосибирск,<50,2023-04-24,,monthly,paid
279,Mid,Логистика,Новосибирск,50-200,2022-11-27,2024-01-08,monthly,referral
280,SMB,Финуслуги,Екатеринбург,<50,2022-10-14,2023-06-15,monthly,direct
281,Large,HoReCa,Санкт-Петербург,200-500,2019-06-02,2024-04-21,monthly,organic
282,SMB,Производство,Самара,<50,2021-08-09,,monthly,organic
283,Mid,HoReCa,Воронеж,50-200,2020-11-04,,monthly,organic
284,Large,Производство,Санкт-Петербург,500+,2019-07-12,,monthly,referral
285,SMB,HoReCa,Нижний Новгород,50-200,2025-05-25,,annual,organic
286,SMB,HoReCa,Краснодар,<50,2024-09-07,,annual,organic
287,SMB,ИТ и софт,Нижний Новгород,50-200,2021-01-25,,annual,direct
288,SMB,Медицина,Москва,<50,2019-10-06,,monthly,direct
289,Mid,Недвижимость,Нижний Новгород,200-500,2022-04-16,2023-02-18,annual,direct
290,SMB,Финуслуги,Санкт-Петербург,<50,2025-01-07,,monthly,paid
291,SMB,Образование,Санкт-Петербург,<50,2024-08-19,,annual,paid
292,SMB,HoReCa,Самара,<50,2020-06-29,,monthly,organic
293,SMB,Производство,Новосибирск,50-200,2021-05-31,2023-05-06,monthly,paid
294,SMB,Розница,Новосибирск,<50,2023-05-29,,annual,paid
295,Mid,Производство,Екатеринбург,<50,2022-04-23,,annual,paid
296,SMB,Медиа,Ростов-на-Дону,<50,2019-10-09,,annual,referral
297,SMB,Финуслуги,Ростов-на-Дону,200-500,2021-11-20,,monthly,direct
298,Mid,Медицина,Москва,50-200,2022-01-08,,monthly,direct
299,Mid,Производство,Санкт-Петербург,50-200,2020-01-05,2024-04-03,annual,organic
300,SMB,HoReCa,Ростов-на-Дону,<50,2021-06-21,2024-02-26,pay_as_you_go,paid
301,Mid,Недвижимость,Москва,200-500,2020-06-03,2023-11-03,pay_as_you_go,referral
302,SMB,ИТ и софт,Москва,<50,2023-08-25,,pay_as_you_go,referral
303,Mid,Медиа,Казань,50-200,2020-10-10,,annual,direct
304,SMB,Производство,Москва,50-200,2023-08-26,,annual,direct
305,Large,ИТ и софт,Москва,500+,2022-03-03,,monthly,organic
306,SMB,HoReCa,Москва,<50,2019-05-04,,annual,referral
307,SMB,Медицина,Нижний Новгород,50-200,2022-05-21,,annual,referral
308,SMB,Финуслуги,Новосибирск,50-200,2024-12-24,,annual,paid
309,SMB,HoReCa,Москва,<50,2020-03-21,2023-08-28,pay_as_you_go,paid
310,Mid,Профуслуги,Казань,50-200,2022-07-15,2023-05-04,monthly,referral
311,Large,Профуслуги,Краснодар,500+,2024-06-05,,annual,direct
312,SMB,Образование,Новосибирск,<50,2024-08-22,,annual,paid
313,SMB,Логистика,Москва,<50,2023-05-31,,annual,direct
314,Large,Медицина,Санкт-Петербург,200-500,2022-06-03,,annual,organic
315,SMB,Недвижимость,Санкт-Петербург,50-200,2022-01-17,,annual,paid
316,SMB,Строительство,Санкт-Петербург,50-200,2019-03-07,,pay_as_you_go,organic
317,Mid,ИТ и софт,Санкт-Петербург,50-200,2022-10-25,,annual,organic
318,SMB,Производство,Санкт-Петербург,<50,2024-07-13,,pay_as_you_go,paid
319,SMB,Производство,Екатеринбург,<50,2021-12-25,,monthly,paid
320,SMB,Недвижимость,Санкт-Петербург,50-200,2021-04-11,,monthly,referral
321,SMB,ИТ и софт,Санкт-Петербург,50-200,2023-02-17,,monthly,paid
322,Mid,Профуслуги,Санкт-Петербург,200-500,2021-10-09,2024-11-23,pay_as_you_go,organic
323,SMB,Финуслуги,Санкт-Петербург,50-200,2024-07-26,2024-10-28,monthly,organic
324,SMB,Финуслуги,Москва,50-200,2021-02-23,2023-10-02,annual,direct
325,SMB,HoReCa,Ростов-на-Дону,<50,2021-01-28,,annual,paid
326,Large,Медицина,Санкт-Петербург,200-500,2020-01-22,2023-05-15,monthly,referral
327,SMB,Логистика,Москва,<50,2023-02-26,2023-10-01,pay_as_you_go,referral
328,SMB,Недвижимость,Санкт-Петербург,<50,2022-01-11,2025-11-20,monthly,organic
329,SMB,Медицина,Ростов-на-Дону,<50,2025-02-08,,annual,organic
330,SMB,Финуслуги,Казань,50-200,2021-08-14,,monthly,organic
331,Mid,Недвижимость,Санкт-Петербург,50-200,2025-01-17,,pay_as_you_go,referral
332,SMB,Финуслуги,Москва,<50,2022-10-19,,annual,referral
333,Large,HoReCa,Воронеж,500+,2023-04-01,,annual,paid
334,SMB,Профуслуги,Новосибирск,50-200,2020-11-02,2024-10-16,annual,direct
335,SMB,Профуслуги,Санкт-Петербург,<50,2023-06-15,2025-02-26,pay_as_you_go,paid
336,SMB,Финуслуги,Краснодар,<50,2022-02-14,,pay_as_you_go,organic
337,Mid,ИТ и софт,Казань,<50,2024-06-06,,annual,direct
338,Mid,ИТ и софт,Москва,200-500,2022-05-21,,annual,paid
339,SMB,Медицина,Казань,200-500,2020-09-18,,pay_as_you_go,direct
340,Mid,Логистика,Краснодар,50-200,2019-07-27,,annual,referral
341,Large,Профуслуги,Казань,500+,2023-11-09,2024-05-09,pay_as_you_go,organic
342,SMB,Медиа,Москва,<50,2021-01-25,2023-10-25,monthly,paid
343,SMB,Логистика,Санкт-Петербург,<50,2024-11-14,,annual,direct
344,Mid,Финуслуги,Ростов-на-Дону,200-500,2019-09-18,,pay_as_you_go,referral
345,SMB,Профуслуги,Воронеж,<50,2021-09-06,2024-08-03,pay_as_you_go,referral
346,Mid,Недвижимость,Санкт-Петербург,200-500,2022-11-05,,annual,direct
347,Mid,ИТ и софт,Нижний Новгород,50-200,2020-02-13,,pay_as_you_go,referral
348,SMB,Медицина,Краснодар,<50,2022-05-28,2023-12-26,monthly,organic
349,Large,HoReCa,Нижний Новгород,200-500,2021-06-16,,monthly,organic
350,Mid,Образование,Новосибирск,50-200,2019-09-27,,monthly,direct
351,SMB,Строительство,Казань,200-500,2022-03-15,,annual,direct
352,SMB,Медицина,Санкт-Петербург,<50,2019-10-20,2025-08-26,annual,organic
353,Mid,Логистика,Санкт-Петербург,200-500,2020-01-21,,monthly,referral
354,Mid,Недвижимость,Новосибирск,<50,2021-06-10,2023-03-14,monthly,organic
